State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1999-00,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2013-14,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2012-13,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2011-12,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2010-11,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2009-10,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2008-09,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2007-08,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2006-07,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2005-06,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2004-05,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2003-04,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2002-03,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2001-02,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2000-01,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 1999-00,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2013-14,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2012-13,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2011-12,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2010-11,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2009-10,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2008-09,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2007-08,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2006-07,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2005-06,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2004-05,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2003-04,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2002-03,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2001-02,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2000-01,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 1999-00
ALABAMA,9036,8773,8577,8726,8907,8964,9197,8398,7683,7073,6581,6300,6029,5885,5638,3233,3121,3015,3046,3103,3135,3201,2928,2679,2393,2171,2058,1920,1854,1781,5170,5039,4966,5091,5211,5227,5396,4916,4493,4189,3954,3812,3692,3629,3480
ALASKA,18466,18217,17475,16663,15829,15363,14641,12324,11476,10847,10116,9870,9563,9216,8806,7550,7525,7286,6918,6545,6287,5672,4897,4536,4231,3956,3798,3627,3603,3579,10318,10115,9645,9225,8777,8599,8528,7021,6562,6262,5829,5740,5617,5300,4933
ARIZONA,7457,7495,7382,7782,7968,8022,7727,7316,6515,6307,5999,6283,5851,5521,5030,3026,3026,2970,3167,3143,3116,2975,2546,2174,2148,2121,2222,2074,2031,1733,4037,4081,4035,4205,4416,4511,4369,4448,4037,3863,3596,3765,3498,3127,3056
ARKANSAS,9752,9538,9536,9496,9281,8854,8677,8391,8030,7659,6842,6482,6276,5568,5277,3708,3602,3586,3531,3413,3205,3124,2985,2780,2597,2317,2196,2088,1856,1770,5476,5361,5396,5425,5354,5140,5065,4966,4834,4660,4152,3961,3867,3400,3210
CALIFORNIA,9671,9258,9329,9146,9300,9503,9706,8952,8301,7905,7673,7552,7405,6987,6314,3474,3313,3317,3246,3325,3441,3515,3233,2976,2805,2723,2678,2555,2379,2122,5757,5527,5606,5514,5597,5685,5824,5379,5009,4798,4657,4591,4572,4343,3947
COLORADO,9036,8693,8594,8786,8926,8782,9152,8286,8166,7826,7478,7384,6941,6567,6215,3499,3292,3297,3401,3451,3375,3520,3189,3306,3123,2935,2900,2683,2574,2389,5168,5038,4948,5040,5129,5061,5299,4792,4587,4428,4281,4230,4010,3755,3601
CONNECTICUT,18401,17321,16855,16224,15698,15353,14610,13659,13072,12263,11436,11057,10577,10127,9753,6150,5798,5650,5407,5210,5247,4955,4615,4327,4021,3733,3612,3425,3286,3103,11690,10965,10659,10292,9963,9594,9163,8580,8281,7804,7282,7052,6772,6469,6185
DELAWARE,13793,13653,13580,12467,12222,12109,12153,11760,11621,10911,10212,9693,9284,8958,8310,4851,4713,4466,4144,4239,4246,4330,4201,4062,3920,3490,3276,3132,3102,2809,8463,8477,8659,7871,7512,7378,7317,7048,7014,6482,6246,5965,5719,5448,5113
DISTRICT OF COLUMBIA,20577,20530,19847,20793,20910,19698,16353,15511,13752,13915,12959,11847,12102,12046,10107,8753,8103,7720,9409,9776,9985,6827,7148,6248,6218,5312,5331,5726,5726,5627,11116,11229,11301,10584,10415,9087,8776,8045,7164,7371,7252,6216,6007,5982,4201
FLORIDA,8955,8623,8520,9030,8863,8867,9084,8567,7812,7215,6793,6439,6213,6170,5831,3007,2912,2915,3116,3116,3115,3219,3084,2833,2600,2441,2338,2240,2270,2151,5500,5286,5196,5511,5356,5361,5473,5108,4618,4268,4019,3786,3664,3600,3391
GEORGIA,9236,9121,9272,9259,9432,9649,9718,9102,8595,8065,7742,7774,7380,6929,6437,3033,2933,3009,2987,3032,3093,3085,2895,2776,2556,2421,2459,2287,2178,2072,5659,5656,5734,5765,5899,6047,6140,5744,5379,5085,4924,4925,4714,4394,4016
HAWAII,12400,11743,11973,11924,11714,12400,11800,11316,9876,8997,8533,8100,7306,6596,6530,4275,4124,4431,4359,3863,4102,4137,4123,3521,3053,2968,2839,2481,2236,2007,7421,6918,6861,6919,7305,7714,7125,6700,5893,5498,5139,4833,4417,3973,4117
